'freq', 'dfreq', 'V_ppin', 'dV_ppin', 'V_ppout', 'dV_ppout'
'Hz',   'Hz',    'mV',     'mV',      'V',       'V'    
10, .1, 428, 1.8, 2.56, .06
20, .1, 420, 2.1, 4, .22
30, .1, 424, 2, 5.24, .21
40, .1, 420, 2.4, 5.96, .42
50, .1, 424, 2.3, 6.52, .61
60, .1, 420, 2.1, 6.84, .65
70, .1, 416, 2.6, 7.08, .12
80, .1, 424, 3, 7.2, .08
90, .1, 428, 3.8, 7.36, .14
100, 1, 424, 3.5, 7.44, .15
200, 1, 424, 3.3, 7.72, .22
400, 1, 428, 3.0, 8.00, .14
600, 1, 424, 2.8, 8.00, .01
800, 1, 428, 2.2, 8, .01
1000, 10, 428, 2.2, 8, .01
1500, 10, 420, 2.3, 8, .05
2000, 10, 420, 2.0, 8, .04
3000, 10, 420, 1.8, 7.92, .06
4000, 10, 420, 1.6, 8, .05
6000, 10, 424, 3.8, 7.92, .04
8000, 10, 420, 2.8, 8, .06
12000, 100, 424, 4, 8, .05
16000, 100, 428, 4, 8.08, .05
24000, 100, 424, 3.8, 7.92, .07
32000, 100, 424, 3.3, 7.84, .1
48000, 100, 424, 2.8, 7.68, .11
64000, 100, 432, 4, 7.6, .12
100000, 1000, 428, 3, 7.28, .03
120000, 1000, 424, 2.7, 7.2, .16
130000, 1000, 432, 3, 7.04, .17
160000, 1000, 424, 2.9, 6.72, .22
200000, 1000, 428, 2.0, 6.24, .04
250000, 1000, 424, 1.8, 5.6, .28
320000, 1000, 424, 1.5, 4.96, .55
400000, 1000, 420, 2, 4.4, .88
480000, 1000, 424, 1.9, 3.92, .96
550000, 1000, 420, 2.2, 3.2, .1
650000, 1000, 424, 2.8, 3.12, .13
800000, 1000, 424, 2.3, 2.64, .12
900000, 1000, 420, 2.8, 2.48, .06
