freq, dfreq, V_ppin, dVppin, V_pout, dV_ppout
Hz, Hz, mV, mV, mV, mV
50, .1, 496, 2.8, 488, 3.9
75, .1, 504, 3.2, 524, 19.8
100, 1, 496, 2.8, 540, 5.7
150, 1, 500, 2.8, 560, 5.7
200, 1, 504, 2.8, 568, 2.8
300, 1, 504, 2.3, 572, 2.3
400, 1, 504, 3.8, 584, 4.0
600, 1, 504, 3.6, 576, 3.6
800, 1, 504, 3.4, 576, 3.3
1200, 10, 504, 2.1, 584, 1.4
1600, 10, 508, 2.3, 584, 1.6
3000, 10, 512, 4.6, 580, 2.3
6000, 10, 500, 5, 576, 2
12000, 100, 504, 3.3, 576, 2
25000, 100, 504, 2.3, 584, 2.3
50000, 100, 508, 3.3, 580, 2
100000, 1000, 504, 2.3, 584, 2.3
200000, 1000, 508, 2, 580, 2.3
400000, 1000, 508, 2.3, 576, 2.3
600000, 1000, 504, 2, 576, 2.3
800000, 1000, 540, 2.5, 576, 2.1
1000000, 10000, 500, 2.3, 576, 4
