f / Hz	X / V	dX / V	Y / V	dY / V	A / V	dA / V	phi / rad	dphi/rad

2,425E+2	1,520E-6	1,694E-6	-1,020E-6	1,666E-6	1,831E-6	2,376E-6	-5,910E-1	-1,169E+0
2,428E+2	2,380E-6	1,873E-6	-1,444E-6	1,844E-6	2,784E-6	2,628E-6	-5,453E-1	-8,180E-1
2,430E+2	6,824E-6	1,814E-6	1,944E-6	1,842E-6	7,095E-6	2,585E-6	2,775E-1	2,731E-1
2,432E+2	2,722E-6	2,162E-6	-1,092E-6	2,164E-6	2,933E-6	3,058E-6	-3,815E-1	-8,143E-1
2,435E+2	2,646E-6	2,199E-6	-5,360E-7	2,311E-6	2,700E-6	3,190E-6	-1,999E-1	-8,775E-1
2,438E+2	2,090E-6	2,529E-6	-6,700E-7	2,441E-6	2,195E-6	3,515E-6	-3,102E-1	-1,191E+0
2,440E+2	1,550E-6	2,680E-6	-3,380E-6	2,603E-6	3,718E-6	3,736E-6	-1,141E+0	-2,159E+0
2,442E+2	2,448E-6	2,826E-6	-7,260E-7	2,868E-6	2,553E-6	4,026E-6	-2,883E-1	-1,186E+0
2,445E+2	2,896E-6	3,712E-6	-3,240E-7	2,169E-6	2,914E-6	4,300E-6	-1,114E-1	-7,595E-1
2,448E+2	2,226E-6	3,185E-6	-1,624E-6	3,179E-6	2,755E-6	4,500E-6	-6,303E-1	-1,528E+0
2,450E+2	-1,562E-6	3,098E-6	-6,052E-6	3,344E-6	6,250E-6	4,559E-6	-1,823E+0	-3,755E+0
2,452E+2	9,980E-7	3,847E-6	-1,688E-6	3,729E-6	1,961E-6	5,357E-6	-1,037E+0	-4,606E+0
2,455E+2	2,202E-6	4,990E-6	-1,170E-6	3,878E-6	2,494E-6	6,320E-6	-4,884E-1	-1,961E+0
2,458E+2	2,926E-6	4,730E-6	9,420E-7	4,746E-6	3,074E-6	6,701E-6	3,115E-1	1,648E+0
2,460E+2	7,800E-7	4,981E-6	4,582E-6	5,233E-6	4,648E-6	7,225E-6	1,402E+0	9,096E+0
2,462E+2	1,392E-6	5,763E-6	-2,848E-6	5,806E-6	3,170E-6	8,180E-6	-1,116E+0	-5,151E+0
2,465E+2	2,040E-6	6,743E-6	-5,340E-7	6,648E-6	2,109E-6	9,469E-6	-2,560E-1	-3,298E+0
2,468E+2	4,002E-6	7,468E-6	-9,060E-7	7,932E-6	4,103E-6	1,089E-5	-2,226E-1	-1,993E+0
2,470E+2	2,131E-5	8,435E-6	9,932E-6	8,223E-6	2,351E-5	1,178E-5	4,361E-1	4,002E-1
2,472E+2	6,402E-6	1,052E-5	-3,826E-6	1,054E-5	7,458E-6	1,489E-5	-5,387E-1	-1,728E+0
