T	dT	f	X	dX	Y	dY	A	dA	phi	dphi

3,881E+1	7,141E-15	2,612E+2	1,150E-1	7,915E-2	5,750E-2	5,750E-2	1,286E-1	9,783E-2	4,637E-1	5,629E-1
3,881E+1	7,141E-15	2,615E+2	-1,422E-6	6,461E-7	4,027E-6	9,959E-7	4,271E-6	1,187E-6	1,910E+0	9,879E-1
3,881E+1	7,141E-15	2,618E+2	-1,700E-6	7,101E-7	4,005E-6	7,664E-7	4,351E-6	1,045E-6	1,972E+0	9,062E-1
3,881E+1	7,141E-15	2,620E+2	2,700E-7	6,165E-7	4,963E-6	7,422E-7	4,970E-6	9,648E-7	1,516E+0	3,470E+0
3,881E+1	7,141E-15	2,622E+2	-1,130E-6	6,123E-7	4,827E-6	6,616E-7	4,958E-6	9,015E-7	1,801E+0	1,006E+0
3,881E+1	7,141E-15	2,625E+2	-1,905E-6	6,069E-7	4,888E-6	7,702E-7	5,246E-6	9,806E-7	1,942E+0	6,904E-1
3,881E+1	7,141E-15	2,628E+2	-1,507E-6	6,319E-7	4,755E-6	6,330E-7	4,988E-6	8,944E-7	1,878E+0	8,259E-1
3,881E+1	7,141E-15	2,630E+2	-3,100E-6	4,608E-7	1,845E-6	4,535E-7	3,607E-6	6,465E-7	2,605E+0	7,482E-1
3,881E+1	7,141E-15	2,632E+2	-1,518E-6	5,669E-7	4,990E-6	6,896E-7	5,216E-6	8,927E-7	1,866E+0	7,432E-1
3,881E+1	7,141E-15	2,635E+2	-2,352E-6	6,091E-7	5,148E-6	4,726E-7	5,660E-6	7,710E-7	1,999E+0	5,493E-1
3,881E+1	7,141E-15	2,638E+2	-1,145E-6	5,506E-7	5,963E-6	5,471E-7	6,071E-6	7,762E-7	1,761E+0	8,619E-1
3,881E+1	7,141E-15	2,640E+2	-2,010E-6	5,050E-7	5,385E-6	5,302E-7	5,748E-6	7,322E-7	1,928E+0	5,203E-1
3,881E+1	7,141E-15	2,642E+2	-1,417E-6	4,836E-7	5,195E-6	5,085E-7	5,385E-6	7,017E-7	1,837E+0	6,520E-1
3,881E+1	7,141E-15	2,645E+2	-1,730E-6	4,846E-7	5,462E-6	4,377E-7	5,730E-6	6,530E-7	1,878E+0	5,470E-1
3,881E+1	7,141E-15	2,648E+2	-2,215E-6	3,730E-7	5,497E-6	4,008E-7	5,927E-6	5,475E-7	1,954E+0	3,585E-1
3,881E+1	7,141E-15	2,650E+2	-2,675E-7	3,573E-7	6,873E-6	4,002E-7	6,878E-6	5,365E-7	1,610E+0	2,152E+0
3,881E+1	7,141E-15	2,652E+2	-2,007E-6	4,706E-7	5,858E-6	4,071E-7	6,192E-6	6,223E-7	1,901E+0	4,648E-1
3,881E+1	7,141E-15	2,655E+2	-1,940E-6	4,647E-7	5,748E-6	4,041E-7	6,066E-6	6,158E-7	1,896E+0	4,734E-1
3,881E+1	7,141E-15	2,658E+2	-2,013E-6	4,488E-7	5,707E-6	4,311E-7	6,052E-6	6,223E-7	1,910E+0	4,497E-1
3,881E+1	7,141E-15	2,660E+2	-1,580E-6	4,035E-7	6,210E-6	4,036E-7	6,408E-6	5,707E-7	1,820E+0	4,796E-1
3,881E+1	7,141E-15	2,662E+2	-1,652E-6	3,485E-7	5,663E-6	3,238E-7	5,899E-6	4,757E-7	1,855E+0	4,053E-1
3,881E+1	7,141E-15	2,665E+2	-1,640E-6	3,740E-7	6,392E-6	3,601E-7	6,600E-6	5,192E-7	1,822E+0	4,279E-1
3,881E+1	7,141E-15	2,668E+2	-1,807E-6	4,188E-7	6,122E-6	4,066E-7	6,384E-6	5,837E-7	1,858E+0	4,478E-1
3,881E+1	7,141E-15	2,670E+2	-2,307E-6	3,198E-7	5,930E-6	3,169E-7	6,363E-6	4,502E-7	1,942E+0	2,884E-1
3,881E+1	7,141E-15	2,672E+2	-2,132E-6	3,091E-7	6,378E-6	2,803E-7	6,725E-6	4,172E-7	1,893E+0	2,868E-1
3,881E+1	7,141E-15	2,675E+2	-2,158E-6	3,064E-7	6,292E-6	3,024E-7	6,652E-6	4,305E-7	1,901E+0	2,850E-1
3,881E+1	7,141E-15	2,678E+2	-2,040E-6	3,115E-7	7,075E-6	4,288E-7	7,363E-6	5,300E-7	1,852E+0	3,041E-1
3,881E+1	7,141E-15	2,680E+2	-1,940E-6	2,667E-7	6,378E-6	2,749E-7	6,666E-6	3,830E-7	1,866E+0	2,689E-1
3,881E+1	7,141E-15	2,682E+2	-2,267E-6	2,794E-7	6,867E-6	2,595E-7	7,232E-6	3,813E-7	1,890E+0	2,435E-1
3,881E+1	7,141E-15	2,685E+2	-2,312E-6	2,585E-7	7,220E-6	3,027E-7	7,581E-6	3,981E-7	1,881E+0	2,245E-1
3,881E+1	7,141E-15	2,688E+2	-2,193E-6	2,860E-7	7,420E-6	2,886E-7	7,737E-6	4,063E-7	1,858E+0	2,529E-1
3,881E+1	7,141E-15	2,690E+2	-1,545E-6	1,488E-7	8,523E-6	1,942E-7	8,661E-6	2,447E-7	1,750E+0	1,732E-1
3,881E+1	7,141E-15	2,692E+2	-1,960E-6	3,244E-7	7,310E-6	2,684E-7	7,568E-6	4,211E-7	1,833E+0	3,107E-1
3,881E+1	7,141E-15	2,695E+2	-2,433E-6	3,236E-7	7,713E-6	3,045E-7	8,087E-6	4,443E-7	1,876E+0	2,603E-1
3,881E+1	7,141E-15	2,698E+2	-2,418E-6	3,297E-7	7,713E-6	3,419E-7	8,083E-6	4,750E-7	1,875E+0	2,688E-1
3,881E+1	7,141E-15	2,700E+2	-1,172E-6	2,801E-7	9,017E-6	2,466E-7	9,093E-6	3,732E-7	1,700E+0	4,088E-1
3,881E+1	7,141E-15	2,702E+2	-2,288E-6	3,418E-7	8,090E-6	3,693E-7	8,407E-6	5,032E-7	1,846E+0	2,885E-1
3,881E+1	7,141E-15	2,705E+2	-2,272E-6	3,348E-7	8,653E-6	2,545E-7	8,946E-6	4,206E-7	1,828E+0	2,746E-1
3,881E+1	7,141E-15	2,708E+2	-2,495E-6	2,571E-7	8,557E-6	2,432E-7	8,914E-6	3,539E-7	1,854E+0	1,983E-1
3,881E+1	7,141E-15	2,710E+2	-3,535E-6	1,941E-7	9,063E-6	2,481E-7	9,728E-6	3,150E-7	1,943E+0	1,192E-1
3,881E+1	7,141E-15	2,712E+2	-2,720E-6	2,218E-7	9,108E-6	2,581E-7	9,505E-6	3,403E-7	1,861E+0	1,606E-1
3,881E+1	7,141E-15	2,715E+2	-2,485E-6	2,575E-7	9,080E-6	2,256E-7	9,414E-6	3,423E-7	1,838E+0	1,958E-1
3,881E+1	7,141E-15	2,718E+2	-2,293E-6	2,659E-7	9,640E-6	1,995E-7	9,909E-6	3,324E-7	1,804E+0	2,126E-1
3,881E+1	7,141E-15	2,720E+2	-2,813E-6	2,123E-7	9,713E-6	2,299E-7	1,011E-5	3,129E-7	1,853E+0	1,465E-1
3,881E+1	7,141E-15	2,722E+2	-2,657E-6	2,090E-7	1,026E-5	2,005E-7	1,060E-5	2,896E-7	1,824E+0	1,478E-1
3,881E+1	7,141E-15	2,725E+2	-2,842E-6	2,076E-7	1,069E-5	1,951E-7	1,106E-5	2,849E-7	1,831E+0	1,378E-1
3,881E+1	7,141E-15	2,728E+2	-2,715E-6	2,478E-7	1,067E-5	1,791E-7	1,101E-5	3,057E-7	1,820E+0	1,689E-1
3,881E+1	7,141E-15	2,730E+2	-3,097E-6	1,328E-7	1,119E-5	2,197E-7	1,161E-5	2,567E-7	1,841E+0	8,679E-2
3,881E+1	7,141E-15	2,732E+2	-2,933E-6	2,110E-7	1,156E-5	1,601E-7	1,193E-5	2,648E-7	1,819E+0	1,333E-1
3,881E+1	7,141E-15	2,735E+2	-2,848E-6	2,029E-7	1,197E-5	1,736E-7	1,230E-5	2,670E-7	1,804E+0	1,312E-1
3,881E+1	7,141E-15	2,738E+2	-3,172E-6	1,768E-7	1,237E-5	1,942E-7	1,277E-5	2,626E-7	1,822E+0	1,055E-1
3,881E+1	7,141E-15	2,740E+2	-3,370E-6	1,880E-7	1,284E-5	1,597E-7	1,328E-5	2,467E-7	1,827E+0	1,044E-1
3,881E+1	7,141E-15	2,742E+2	-2,868E-6	1,845E-7	1,357E-5	1,618E-7	1,387E-5	2,454E-7	1,779E+0	1,164E-1
3,881E+1	7,141E-15	2,745E+2	-3,150E-6	2,012E-7	1,404E-5	1,826E-7	1,438E-5	2,717E-7	1,792E+0	1,168E-1
3,881E+1	7,141E-15	2,748E+2	-3,020E-6	2,161E-7	1,445E-5	2,385E-7	1,476E-5	3,219E-7	1,777E+0	1,305E-1
3,881E+1	7,141E-15	2,750E+2	-2,995E-6	1,608E-7	1,538E-5	1,582E-7	1,567E-5	2,256E-7	1,763E+0	9,638E-2
3,881E+1	7,141E-15	2,752E+2	-2,858E-6	1,944E-7	1,587E-5	2,116E-7	1,613E-5	2,873E-7	1,749E+0	1,212E-1
3,881E+1	7,141E-15	2,755E+2	-3,232E-6	1,847E-7	1,663E-5	2,015E-7	1,695E-5	2,733E-7	1,763E+0	1,030E-1
3,881E+1	7,141E-15	2,758E+2	-3,175E-6	1,665E-7	1,778E-5	1,402E-7	1,807E-5	2,177E-7	1,747E+0	9,266E-2
3,881E+1	7,141E-15	2,760E+2	-3,457E-6	1,625E-7	1,815E-5	1,920E-7	1,848E-5	2,515E-7	1,759E+0	8,473E-2
3,881E+1	7,141E-15	2,762E+2	-2,895E-6	2,170E-7	1,958E-5	1,824E-7	1,980E-5	2,835E-7	1,718E+0	1,298E-1
3,881E+1	7,141E-15	2,765E+2	-2,850E-6	2,270E-7	2,056E-5	1,674E-7	2,075E-5	2,820E-7	1,709E+0	1,368E-1
3,881E+1	7,141E-15	2,768E+2	-3,012E-6	2,342E-7	2,170E-5	2,035E-7	2,191E-5	3,103E-7	1,709E+0	1,338E-1
3,881E+1	7,141E-15	2,770E+2	-3,407E-6	1,622E-7	2,305E-5	1,923E-7	2,330E-5	2,516E-7	1,718E+0	8,300E-2
3,881E+1	7,141E-15	2,772E+2	-2,785E-6	1,887E-7	2,547E-5	2,276E-7	2,563E-5	2,957E-7	1,680E+0	1,148E-1
3,881E+1	7,141E-15	2,775E+2	-2,200E-6	1,353E-7	2,701E-5	2,305E-7	2,710E-5	2,673E-7	1,652E+0	1,026E-1
3,881E+1	7,141E-15	2,778E+2	-1,058E-6	2,477E-7	2,921E-5	2,177E-7	2,923E-5	3,298E-7	1,607E+0	3,766E-1
3,881E+1	7,141E-15	2,780E+2	-9,750E-7	2,401E-7	3,213E-5	2,746E-7	3,214E-5	3,648E-7	1,601E+0	3,946E-1
3,881E+1	7,141E-15	2,782E+2	4,525E-7	2,322E-7	3,496E-5	2,380E-7	3,496E-5	3,325E-7	1,558E+0	7,996E-1
3,881E+1	7,141E-15	2,785E+2	2,167E-6	2,755E-7	3,852E-5	3,671E-7	3,858E-5	4,590E-7	1,515E+0	1,930E-1
3,881E+1	7,141E-15	2,788E+2	5,085E-6	2,902E-7	4,231E-5	2,490E-7	4,261E-5	3,823E-7	1,451E+0	8,326E-2
3,881E+1	7,141E-15	2,790E+2	1,003E-5	2,944E-7	4,800E-5	4,040E-7	4,903E-5	4,999E-7	1,365E+0	4,166E-2
3,881E+1	7,141E-15	2,792E+2	1,432E-5	3,521E-7	5,236E-5	4,287E-7	5,429E-5	5,547E-7	1,304E+0	3,379E-2
3,881E+1	7,141E-15	2,795E+2	2,263E-5	7,014E-7	5,799E-5	3,358E-7	6,225E-5	7,777E-7	1,199E+0	3,781E-2
3,881E+1	7,141E-15	2,798E+2	3,505E-5	9,447E-7	6,082E-5	4,105E-7	7,019E-5	1,030E-6	1,048E+0	2,912E-2
3,881E+1	7,141E-15	2,800E+2	4,928E-5	9,712E-7	6,157E-5	2,883E-7	7,886E-5	1,013E-6	8,957E-1	1,814E-2
3,881E+1	7,141E-15	2,802E+2	6,722E-5	1,486E-6	5,332E-5	5,003E-7	8,580E-5	1,568E-6	6,706E-1	1,611E-2
3,881E+1	7,141E-15	2,805E+2	8,251E-5	1,177E-6	3,584E-5	1,034E-6	8,996E-5	1,567E-6	4,098E-1	1,319E-2
3,881E+1	7,141E-15	2,808E+2	8,720E-5	3,541E-7	1,172E-5	1,202E-6	8,798E-5	1,253E-6	1,337E-1	1,371E-2
3,881E+1	7,141E-15	2,810E+2	8,173E-5	6,005E-7	-5,738E-6	1,124E-6	8,193E-5	1,275E-6	-7,008E-2	-1,374E-2
3,881E+1	7,141E-15	2,812E+2	7,044E-5	8,505E-7	-1,979E-5	5,967E-7	7,317E-5	1,039E-6	-2,739E-1	-8,896E-3
3,881E+1	7,141E-15	2,815E+2	5,857E-5	8,133E-7	-2,621E-5	2,944E-7	6,416E-5	8,650E-7	-4,208E-1	-7,515E-3
3,881E+1	7,141E-15	2,818E+2	4,796E-5	8,067E-7	-2,879E-5	2,971E-7	5,594E-5	8,596E-7	-5,406E-1	-1,067E-2
3,881E+1	7,141E-15	2,820E+2	4,020E-5	5,387E-7	-2,945E-5	1,845E-7	4,983E-5	5,695E-7	-6,322E-1	-9,353E-3
3,881E+1	7,141E-15	2,822E+2	3,347E-5	4,718E-7	-2,925E-5	2,744E-7	4,445E-5	5,457E-7	-7,182E-1	-1,216E-2
3,881E+1	7,141E-15	2,825E+2	2,881E-5	4,224E-7	-2,752E-5	2,493E-7	3,984E-5	4,905E-7	-7,626E-1	-1,314E-2
3,881E+1	7,141E-15	2,828E+2	2,451E-5	3,577E-7	-2,597E-5	2,215E-7	3,571E-5	4,207E-7	-8,143E-1	-1,376E-2
3,881E+1	7,141E-15	2,830E+2	2,189E-5	2,756E-7	-2,424E-5	2,529E-7	3,266E-5	3,740E-7	-8,364E-1	-1,368E-2
3,881E+1	7,141E-15	2,832E+2	1,909E-5	2,546E-7	-2,267E-5	3,159E-7	2,964E-5	4,057E-7	-8,711E-1	-1,680E-2
3,881E+1	7,141E-15	2,835E+2	1,797E-5	1,739E-7	-2,064E-5	1,944E-7	2,737E-5	2,609E-7	-8,546E-1	-1,154E-2
3,881E+1	7,141E-15	2,838E+2	1,577E-5	2,690E-7	-2,034E-5	1,843E-7	2,574E-5	3,261E-7	-9,111E-1	-1,760E-2
3,881E+1	7,141E-15	2,840E+2	1,424E-5	1,744E-7	-1,908E-5	2,337E-7	2,381E-5	2,916E-7	-9,299E-1	-1,611E-2
3,881E+1	7,141E-15	2,842E+2	1,304E-5	1,718E-7	-1,836E-5	1,704E-7	2,252E-5	2,419E-7	-9,532E-1	-1,536E-2
3,881E+1	7,141E-15	2,845E+2	1,141E-5	1,943E-7	-1,739E-5	2,331E-7	2,080E-5	3,034E-7	-9,905E-1	-2,147E-2
3,881E+1	7,141E-15	2,848E+2	1,092E-5	1,599E-7	-1,686E-5	1,638E-7	2,009E-5	2,289E-7	-9,959E-1	-1,749E-2
3,881E+1	7,141E-15	2,850E+2	1,041E-5	1,976E-7	-1,514E-5	1,694E-7	1,837E-5	2,603E-7	-9,688E-1	-2,136E-2
3,881E+1	7,141E-15	2,852E+2	9,608E-6	1,608E-7	-1,481E-5	1,381E-7	1,765E-5	2,119E-7	-9,953E-1	-1,907E-2
3,881E+1	7,141E-15	2,855E+2	8,940E-6	2,318E-7	-1,485E-5	1,739E-7	1,733E-5	2,898E-7	-1,029E+0	-2,928E-2
3,881E+1	7,141E-15	2,858E+2	8,538E-6	1,885E-7	-1,384E-5	1,820E-7	1,626E-5	2,620E-7	-1,018E+0	-2,617E-2
3,881E+1	7,141E-15	2,860E+2	7,920E-6	1,537E-7	-1,390E-5	1,676E-7	1,600E-5	2,275E-7	-1,053E+0	-2,406E-2
3,881E+1	7,141E-15	2,862E+2	7,575E-6	1,430E-7	-1,267E-5	1,432E-7	1,476E-5	2,023E-7	-1,032E+0	-2,270E-2
3,881E+1	7,141E-15	2,865E+2	7,070E-6	1,214E-7	-1,234E-5	2,055E-7	1,422E-5	2,387E-7	-1,050E+0	-2,513E-2
3,881E+1	7,141E-15	2,868E+2	6,512E-6	2,214E-7	-1,171E-5	2,232E-7	1,340E-5	3,143E-7	-1,063E+0	-4,143E-2
3,881E+1	7,141E-15	2,870E+2	6,367E-6	2,057E-7	-1,138E-5	1,811E-7	1,304E-5	2,740E-7	-1,061E+0	-3,819E-2
3,881E+1	7,141E-15	2,872E+2	6,395E-6	2,104E-7	-1,078E-5	1,922E-7	1,253E-5	2,850E-7	-1,035E+0	-3,875E-2
3,881E+1	7,141E-15	2,875E+2	6,242E-6	1,512E-7	-1,089E-5	1,366E-7	1,255E-5	2,038E-7	-1,050E+0	-2,865E-2
3,881E+1	7,141E-15	2,878E+2	5,622E-6	2,027E-7	-1,042E-5	1,805E-7	1,184E-5	2,715E-7	-1,076E+0	-4,304E-2
3,881E+1	7,141E-15	2,880E+2	5,235E-6	1,616E-7	-1,021E-5	2,041E-7	1,148E-5	2,603E-7	-1,097E+0	-4,035E-2
3,881E+1	7,141E-15	2,882E+2	5,207E-6	1,071E-7	-9,727E-6	1,508E-7	1,103E-5	1,850E-7	-1,079E+0	-2,780E-2
3,881E+1	7,141E-15	2,885E+2	5,073E-6	1,148E-7	-9,490E-6	1,755E-7	1,076E-5	2,097E-7	-1,080E+0	-3,157E-2
3,881E+1	7,141E-15	2,888E+2	4,728E-6	1,057E-7	-9,223E-6	1,335E-7	1,036E-5	1,703E-7	-1,097E+0	-2,921E-2
3,881E+1	7,141E-15	2,890E+2	4,518E-6	1,419E-7	-9,155E-6	1,075E-7	1,021E-5	1,780E-7	-1,112E+0	-3,731E-2
3,881E+1	7,141E-15	2,892E+2	4,342E-6	1,533E-7	-9,055E-6	1,715E-7	1,004E-5	2,301E-7	-1,124E+0	-4,502E-2
3,881E+1	7,141E-15	2,895E+2	4,605E-6	1,429E-7	-8,557E-6	2,071E-7	9,718E-6	2,516E-7	-1,077E+0	-4,239E-2
3,881E+1	7,141E-15	2,898E+2	4,273E-6	2,184E-7	-8,095E-6	1,513E-7	9,153E-6	2,657E-7	-1,085E+0	-5,906E-2
3,881E+1	7,141E-15	2,900E+2	3,388E-6	1,970E-7	-8,515E-6	1,945E-7	9,164E-6	2,769E-7	-1,192E+0	-7,450E-2
3,881E+1	7,141E-15	2,902E+2	3,912E-6	1,548E-7	-7,807E-6	2,004E-7	8,733E-6	2,532E-7	-1,106E+0	-5,217E-2
3,881E+1	7,141E-15	2,905E+2	3,857E-6	1,431E-7	-7,800E-6	1,405E-7	8,702E-6	2,006E-7	-1,112E+0	-4,584E-2
3,881E+1	7,141E-15	2,908E+2	3,505E-6	2,224E-7	-7,500E-6	1,459E-7	8,279E-6	2,660E-7	-1,134E+0	-7,522E-2
3,881E+1	7,141E-15	2,910E+2	3,528E-6	1,463E-7	-7,468E-6	1,783E-7	8,259E-6	2,307E-7	-1,129E+0	-5,407E-2
3,881E+1	7,141E-15	2,912E+2	3,403E-6	1,198E-7	-7,285E-6	1,782E-7	8,040E-6	2,147E-7	-1,134E+0	-4,860E-2
3,881E+1	7,141E-15	2,915E+2	3,295E-6	1,578E-7	-7,100E-6	1,489E-7	7,827E-6	2,169E-7	-1,136E+0	-5,940E-2
3,881E+1	7,141E-15	2,918E+2	3,282E-6	1,462E-7	-6,985E-6	2,110E-7	7,718E-6	2,567E-7	-1,131E+0	-6,090E-2
3,881E+1	7,141E-15	2,920E+2	3,093E-6	2,125E-7	-6,665E-6	1,814E-7	7,348E-6	2,794E-7	-1,136E+0	-8,400E-2
3,881E+1	7,141E-15	2,922E+2	3,060E-6	1,872E-7	-6,193E-6	2,120E-7	6,907E-6	2,828E-7	-1,112E+0	-7,794E-2
3,881E+1	7,141E-15	2,925E+2	2,882E-6	2,340E-7	-6,660E-6	3,346E-7	7,257E-6	4,083E-7	-1,162E+0	-1,110E-1
3,881E+1	7,141E-15	2,928E+2	3,355E-6	2,899E-7	-6,117E-6	2,860E-7	6,977E-6	4,073E-7	-1,069E+0	-1,050E-1
3,881E+1	7,141E-15	2,930E+2	2,970E-6	2,386E-7	-5,810E-6	2,614E-7	6,525E-6	3,539E-7	-1,098E+0	-1,011E-1
3,881E+1	7,141E-15	2,932E+2	2,865E-6	2,254E-7	-5,938E-6	2,348E-7	6,593E-6	3,255E-7	-1,121E+0	-9,872E-2
3,881E+1	7,141E-15	2,935E+2	2,715E-6	2,027E-7	-5,820E-6	1,996E-7	6,422E-6	2,844E-7	-1,134E+0	-9,318E-2
3,881E+1	7,141E-15	2,938E+2	2,733E-6	1,804E-7	-5,527E-6	1,854E-7	6,166E-6	2,587E-7	-1,112E+0	-8,233E-2
3,881E+1	7,141E-15	2,940E+2	2,563E-6	1,796E-7	-5,845E-6	1,225E-7	6,382E-6	2,174E-7	-1,158E+0	-8,469E-2
3,881E+1	7,141E-15	2,942E+2	2,620E-6	1,534E-7	-5,382E-6	1,815E-7	5,986E-6	2,377E-7	-1,118E+0	-7,553E-2
3,881E+1	7,141E-15	2,945E+2	2,495E-6	1,687E-7	-5,710E-6	1,489E-7	6,231E-6	2,251E-7	-1,159E+0	-8,400E-2
3,881E+1	7,141E-15	2,948E+2	2,440E-6	1,687E-7	-5,712E-6	1,589E-7	6,212E-6	2,317E-7	-1,167E+0	-8,697E-2
3,881E+1	7,141E-15	2,950E+2	2,835E-6	2,505E-7	-4,952E-6	2,059E-7	5,707E-6	3,243E-7	-1,051E+0	-1,026E-1
